"sr_no","inclination","ambient_temp","speed","weight","battery_level","battery temperature","time","Battery_rating","charging_cycle","acceleration","battery_current","battery_voltage","humidity"
"16910","20.37","0","0","-560.58","0","23.65","587540","10000","1","0.91","0.36","12","0"
"16911","54.23","0","0","-309.53","0","20.99","589169","10000","1","5.48","0.51","11.58","0"
"16912","39.95","0","0","55.04","0","20.8","590693","10000","1","-1.65","0.59","11.81","0"
"16913","59.67","0","0","-48.08","0","21.92","592391","10000","1","7.69","0.68","11.73","0"
"16914","23","0","0","-229.55","0","21.18","593892","10000","1","0.34","0.32","12","0"
"16915","33.06","0","0","112.52","0","23.1","595191","10000","1","0.91","1.06","10.97","0"
"16916","23.83","0","0","-256.12","0","21.18","597321","10000","1","1.16","0.4","11.98","0"
"16917","31.22","0","0","-10.61","0","23.46","599552","10000","1","-0.97","0.39","12","0"
"16918","25.89","0","0","-7.53","0","23.65","600888","10000","1","0.26","0.41","11.68","0"
"16919","22.21","0","0","-60.46","0","21.73","602576","10000","1","-1.18","0","12","0"
"16920","44.84","0","0","73.26","0","23.19","603921","10000","1","-2.73","0.49","11.75","0"
"16921","51.45","0","0","54.67","0","23.37","605636","10000","1","0.4","0.57","11.57","0"
"16922","44.44","0","0","70.77","0","22.83","607698","10000","1","-2.28","1.22","11.08","0"
"16923","46.29","0","0","-102.34","0","22.19","609861","10000","1","3.19","0.42","11.88","0"
"16924","55.12","0","0","192.63","0","20.71","611299","10000","1","1.54","0.35","11.99","0"
"16925","70.39","0","0","-654.6","0","20.42","612552","10000","1","-4.61","0.98","11.23","0"
"16926","68.26","0","0","-362.16","0","22.83","614295","10000","1","5.35","0.54","11.55","0"
"16927","50.82","0","0","-57.96","0","22.46","615606","10000","1","0.11","1.21","10.76","0"
"16928","22.13","0","0","20.22","0","21.27","617905","10000","1","2.93","1.41","10.95","0"
"16929","64.15","0","0","39.43","0","20.61","619629","10000","1","-5.91","0.64","11.46","0"
"16930","3.01","0","0","-197.04","0","21.92","621079","10000","1","3.23","1.25","11.09","0"
"16931","16.14","0","0","-99.09","0","23.37","622700","10000","1","0.57","0","12","0"
"16932","14.29","0","0","195.57","0","23.65","623902","10000","1","5.13","0.27","12","0"
"16933","8.37","0","0","-195.82","0","20.71","625840","10000","1","1.58","0.38","11.56","0"
"16934","47.54","0","0","294.81","0","23.74","627683","10000","1","-5.11","0.97","12","0"
"16935","35.01","0","0","-443.64","0","23.37","630472","10000","1","4.75","0.53","11.96","0"
"16936","81.25","0","0","-326.4","0","20.33","631960","10000","1","5.39","0.55","11.88","0"
"16937","9.18","0","0","225.32","0","23.28","633414","10000","1","0.45","0.24","12","0"
"16938","75.33","0","0","-202.78","0","22.28","634842","10000","1","0.26","0.86","10.95","0"
"16939","19.19","0","0","5.16","0","22.92","636447","10000","1","-2.56","0.21","12","0"
"16940","76.21","0","0","213.17","0","20.23","638222","10000","1","-3.17","0.17","12","0"
"16941","20.93","0","0","-361.07","0","22.46","639506","10000","1","-0.65","0.58","11.89","0"
"16942","52.25","0","0","-202.76","0","23.1","640549","10000","1","-4.18","0.56","11.99","0"
"16943","33.56","0","0","-487.89","0","23.37","642332","10000","1","4.83","0.71","11.83","0"
"16944","33.62","0","0","142.19","0","22.83","643794","10000","1","-6.25","0.5","11.76","0"
"16945","30.23","0","0","445.7","0","22.37","645504","10000","1","0.69","0.63","11.73","0"
"16946","53.37","0","0","-98.65","0","22.37","648252","10000","1","1.92","0.43","11.83","0"
"16947","37.94","0","0","-273.42","0","20.33","649793","10000","1","-4.36","0.24","12","0"
